Id,Whisky Name,Whisky Region or Style
5ea954b6-c542-4cc3-a259-40e9cfa1a26d,Aberfeldy 1998 Signatory Vintage,Highlands
11ef8083-361a-4831-bd12-cb7804bcfd87,Aberfeldy 20 Exceptional Cask Series AB2798,Highlands
96009614-925c-48c9-b3ef-422371344d02,Aberfeldy 20 Exceptional Cask Series Sauternes Finish,Speyside
c74cb75c-2456-4662-98b1-e17cb7cf0478,Aberfeldy 21,Highlands
35d80423-716f-431f-9b8d-8ea344320fd4,Aberfeldy Single Cask,Highlands
347c88ae-bf0c-49c3-945f-e9d1f8b23883,Aberlour 10,Speyside
95e76af7-d859-4dc7-a412-e0cef6cef9d8,Aberlour 10 (1990S Bottling),Speyside
cd609be6-1207-4894-96c6-da72273dc421,Aberlour 100 Proof,Speyside
e0cc2892-2df9-4790-8ec3-6b86cc355566,Aberlour 11 1995 Duncan Taylor NC2,Speyside
81313fc0-716d-4ebe-b017-81417c22c184,Aberlour 12,Speyside
54214a52-2cd6-4334-a96a-19c65d137fb5,Aberlour 12 (1970S-1980S Bottling),Speyside
07514986-aa3a-423e-a99c-79409cebabc4,"Aberlour 12 2006 SMWS 54.68 ""A Perfect Garden Party""",Speyside
1867584a-4764-49d5-b59a-eb6546559854,"Aberlour 12 2006 SMWS 54.80 ""Banana Mexicana""",Speyside
80bf343d-350d-4eb2-8d92-f341b9a7499b,Aberlour 12 Double Cask Matured,Speyside
aa89a541-02e4-4131-b654-d96758e82e02,Aberlour 12 Non Chill Filtered,Speyside
e6a9cd70-eee2-4bb7-994a-fa1b83d3addf,Aberlour 12 Sherry Cask Matured,Speyside
a2958f0c-0ff0-46a0-a743-198f07a061f0,Aberlour 12 The Classic Cask,Speyside
57cc06b6-d254-4280-ae6f-5adaf6c572e9,Aberlour 13 2020 Distillery Exclusive,Speyside
c09562c4-5e36-48b3-aa88-330eea1e9703,Aberlour 13 Distillery Exclusive,Speyside
7f7542ae-5d38-4a40-bda9-13129a4ea021,Aberlour 13 Distillery Exclusive Bourbon Cask,Speyside
a7627080-0501-4c12-9eda-2d332157b7d0,Aberlour 14 1996 A.D. Rattray,Speyside
f48cb712-6c5a-4acc-bd63-d6238a05f994,Aberlour 15 Cuvee Marie D'ecosse,Speyside
85d0e8e2-7645-4824-8fba-d2ada9236452,Aberlour 15 Double Cask Matured,Speyside
8a03b47c-04c5-47c4-85df-c7a8d08e076d,Aberlour 15 Hand-Filled Bourbon Cask,Speyside
84ee725e-946c-430f-b161-8a346908598f,Aberlour 15 Select Cask Reserve,Speyside
d3488f6f-79e2-4cfc-ade1-dfe33c0ba1fb,Aberlour 15 Sherry Wood Finish,Speyside
806bc95a-fa38-4006-8c2a-fc843526a67e,Aberlour 16,Speyside
387a78cd-dcd8-408e-9b48-322879b6d852,"Aberlour 16 2002 SMWS 54.75 ""Refined, Refreshing And Redolent""",Speyside
b43c90b6-87ad-4133-9deb-652839f88baf,"Aberlour 16 2002 SMWS 54.78 ""Sugarcane Flowers In Speyside""",Speyside
17d6e61f-da16-4e05-9d6c-97cf400afa21,Aberlour 16 Cask Strength,Speyside
f467588d-3889-4865-aae8-16dee661af7c,Aberlour 16 Distillery Exclusive Sherry Cask,Speyside
f589922c-1b53-4136-ae31-bff712fbc1f2,Aberlour 16 Double Cask Matured,Speyside
d9d16e9a-8c88-4eb7-b404-dee1ed9904de,Aberlour 16 The Classic Cask,Speyside
70c05744-5e53-467c-86d8-5c3db1589756,Aberlour 17 1990 Blackadder,Speyside
21f92b6f-a91a-4ae8-8f38-46af4e50a060,Aberlour 17 1995 Master Of Malt,Speyside
67b4ed41-30c3-4855-9c00-628eb0cdf5d5,"Aberlour 17 1997 SMWS 54.35 ""Lovely Jubbly!""",Speyside
27a7b17f-958e-4da1-aa14-5dc2bd1d8c96,Aberlour 17 2000 Cadenhead's Authentic Collection,Speyside
17605020-4483-46d5-849b-16caa36c07f3,"Aberlour 17 2000 SMWS 54.63 ""2000: And Some Face Odyssey""",Speyside
30c805f2-90d8-4f54-b66a-9e9dc12b4ddc,Aberlour 17 Cadenhead's Cask Ends,Speyside
4c23660d-6406-4848-ab6d-6f63342b7112,Aberlour 18,Speyside
982fdc6f-f94a-493d-a5fb-aeeb6c4d57e5,Aberlour 18 1989 Scott's Selection,Speyside
1a4aac2a-68ee-4ee9-9fb8-435ce6ae102b,Aberlour 19 1990 Old Malt Cask,Speyside
d018ce46-ff26-4580-9da0-804c54fea07b,Aberlour 1987 Scott's Selection,Speyside
19a7ba65-b483-4095-ad84-729433321dea,Aberlour 20 1992 Berry Bros. & Rudd,Speyside
b0cbc6a5-9556-4ce4-913c-c7ce85a18e45,Aberlour 20 DARKNESS! Oloroso,Speyside
99bb8b20-12a0-43c6-83fa-ff0cb6cec81b,Aberlour 20 DARKNESS! Pedro Ximénez,Speyside
90642f3e-3e02-4641-bc6b-0255a1d85ae6,Aberlour 21 1992 Old Particular,Speyside
3a86aef7-a708-40b2-b51d-65fe58831dc5,Aberlour 23 That Boutique-Y Whisky Company,Speyside
b13f20f1-3737-4a02-b28d-b1894120f23e,Aberlour 25 1988 Old Malt Cask,Speyside
7cfe8f04-a775-416b-b2b0-645704882bb2,Aberlour 25 1995 Old Particular,Speyside
3219bdad-15a9-4054-8e61-aee0bde4fa93,Aberlour 26 1989 Carn Mor,Speyside
5e30f8c1-2686-4f1c-a5aa-795969c3be91,"Aberlour 8 2006 SMWS 54.38 ""Confectionary And Carpenters""",Speyside
aef7b6c3-a11e-4806-a967-5edbd32f4775,"Aberlour 8 2006 SMWS 54.38 ""Confectionery And Carpenters""",Speyside
03a8d60b-995b-411b-85d9-61e7fb5bf481,"Aberlour 9 2007 SMWS 54.40 ""Carefree Entertainment""",Speyside
44432e67-734e-450e-a201-ca4c4046dfe7,"Aberlour 9 2008 SMWS 54.64 ""Vanilla Snog At The Laundrette""",Speyside
0979d845-1277-4a38-8a9b-edd06f4f4bfd,Aberlour A'bunadh,Speyside
28aed946-75c4-4ea3-83e6-528231e07c64,Aberlour A'bunadh Alba Batch 001,Speyside
80c24897-c19f-4887-a577-dd7ae9cabbb6,Aberlour A'bunadh Batch #01-5,Speyside
9b8a7ef5-ef54-4610-a535-0a5bda1ed7ff,Aberlour A'bunadh Batch #06,Speyside
bbe9ee40-76d0-4f75-9093-6c4d268b8d57,Aberlour A'bunadh Batch #09,Speyside
9d1183c7-93f3-47aa-8d37-16df31ccfec7,Aberlour A'bunadh Batch #19,Speyside
64192215-a967-4d63-a729-4ea5789a4fb7,Aberlour A'bunadh Batch #26,Speyside
c4f51004-5b1a-45a1-81ad-e6c5005a82fa,Aberlour A'bunadh Batch #30,Speyside
d1fa7843-e0b1-4729-93f2-f95f104a5e3f,Aberlour A'bunadh Batch #32,Speyside
526400cf-7c41-4b19-93ca-1da329835e65,Aberlour A'bunadh Batch #33,Speyside
9ba88be0-41fc-457a-b7e4-c4152fbd7b9a,Aberlour A'bunadh Batch #34,Speyside
03176e9b-3487-46ee-bd4d-c8c0d239ec7e,Aberlour A'bunadh Batch #35,Speyside
932c8a7f-056d-40fd-971a-40bdcc1dcd00,Aberlour A'bunadh Batch #36,Speyside
b24dd88a-8e17-4b36-96ad-9532fa28ad0d,Aberlour A'bunadh Batch #37,Speyside
994c4d2a-f269-41cd-a6b0-79594d070f28,Aberlour A'bunadh Batch #38,Speyside
9ff049b9-6c03-445b-a1ec-d770253cbf9a,Aberlour A'bunadh Batch #39,Speyside
2bcf1ec0-dac2-4173-98cf-ddfc309f4c5a,Aberlour A'bunadh Batch #40,Speyside
fddfaf0c-aafe-44fa-af4f-5c9262670c06,Aberlour A'bunadh Batch #41,Speyside
21cb6fe9-6e9e-4a66-b67c-b46279ea4f9c,Aberlour A'bunadh Batch #42,Speyside
0a6bd3a0-df2b-489e-96c4-068a12e8f630,Aberlour A'bunadh Batch #44,Speyside
204f1152-eb3e-4cd8-a1a9-a405cf051878,Aberlour A'bunadh Batch #45,Speyside
e7557067-3eb7-4982-ad96-9dfd586fe2e3,Aberlour A'bunadh Batch #46,Speyside
a43fd54a-9347-4989-9884-956bec5c431e,Aberlour A'bunadh Batch #47,Speyside
a2bb9f4c-222c-45e8-84e6-599d7f3c4433,Aberlour A'bunadh Batch #49,Speyside
37d651b7-e6b2-40d2-a6e9-9f0eeb9d75dc,Aberlour A'bunadh Batch #50,Speyside
391a2b12-efe8-4a22-af41-f4fc31f2677d,Aberlour A'bunadh Batch #51,Speyside
0ec516e8-635c-49b4-bf7f-c48530b5d6ad,Aberlour A'bunadh Batch #52,Speyside
814ef865-0dd1-43c9-b72f-fd220178bccf,Aberlour A'bunadh Batch #53,Speyside
06144219-ea3c-4011-9e51-ca3b336055fb,Aberlour A'bunadh Batch #54,Speyside
f2dbda50-d444-4695-81a9-c3a5539889d4,Aberlour A'bunadh Batch #55,Speyside
1be7784e-b6c7-4637-b1f5-4004997a0b4b,Aberlour A'bunadh Batch #56,Highlands
002323d1-0804-4bde-bdb8-8915d1bed780,Aberlour A'bunadh Batch #57,Speyside
743f248c-9cab-4644-8f95-79ee06e9d93c,Aberlour A'bunadh Batch #58,Speyside
961b7793-be27-45f9-b955-d99e7f04e38d,Aberlour A'bunadh Batch #59,Speyside
ad2c5788-7e5b-4c43-a8f5-59fbfbbedd37,Aberlour A'bunadh Batch #60,Speyside
591db680-9a3a-40e7-99f1-32149161681f,Aberlour A'bunadh Batch #61,Speyside
ae24702d-2a20-40cb-b8dc-cb0b8be602ba,Aberlour A'bunadh Batch #62,Speyside
630de7fd-b282-4882-9083-b58edc6e397b,Aberlour A'bunadh Batch #63,Speyside
7842f3f6-78a1-4d31-b542-9daeb903f9b1,Aberlour A'bunadh Batch #64,Speyside
37a439dd-4eac-48e9-af53-cda6edfe0339,Aberlour A'bunadh Batch #65,Speyside
d671b02a-197d-45e7-9134-cb6a2bb2b826,Aberlour A'bunadh Batch #67,Speyside
cd35a8a6-6ec1-4699-ac8c-4abab43c6f39,Aberlour A'bunadh Batch #68,Speyside
b3ae1b79-8c36-4163-b56f-7551ac8e83d9,Aberlour A'bunadh Batch 50,Speyside
105a844c-a67d-47e1-b753-6bf232a6dac8,Aberlour A'bunadh Batch 54,Speyside
8b457c6a-8354-4aa0-aa0d-1d4b3675f3c5,Aberlour A'bunadh Batch 55,Speyside
13a1c270-09f0-4a31-abaf-bea4458e616e,Aberlour A'bunadh Batch 63,Speyside
5c5e298d-915d-49ed-8af8-a6870365ee74,Aberlour A'bunadh Batch 64,Speyside
2fe9de62-a800-416f-a708-65397f2d3b2b,Aberlour Casg Annamh Batch 0001,Speyside
b3bb8a51-70ea-4fd4-9456-d2fc4fcf8d50,Aberlour Moncreiffe,Speyside
d4d7e8fe-d65d-4e66-89e4-f0584968ebcb,Aberlour That Boutique-Y Whisky Company Batch 2,Speyside
4fb93892-7f39-4b93-8cc8-8a912432849c,Abhainn Dearg,Islands
df38ef65-2289-4d85-94ab-18eb5eab4e65,Abomination - The Crying Of The Puma,America
e94d67db-3fa3-41d4-8135-b13ebcc78c7d,Abomination - The Sayers Of The Law,America
fbfc2282-1d05-44f5-9cf7-fadef05b4d6c,Abraham Bowman #11 Touriga And Merlot Wine Finished,Bourbon
